reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
b9e078a1-6595-414d-a8c0-b859269b8736,Toheed Hassan,https://play-lh.googleusercontent.com/a/ACg8ocL1MNxsViGEiNpUzaqc8SuapTYkW174uaRHCy4X7RnDw0togA=mo,good,5,0,,2025-07-09 22:04:20,,,
a761b35e-1a5a-4bb9-91e3-5b3e9c99bc77,Pakistaniumairafzal Umair,https://play-lh.googleusercontent.com/a-/ALV-UjVUMgSaxdL8Bom1prRH9OGoWZ4oDPi6RjCFNA5hlmAljNO7QloJ,I am unable to login after sing up. Can app developer help me. I am unable to share screen shot in review.,1,0,6.2.5,2025-07-08 12:58:51,,,6.2.5
7dcfd2b7-0066-43ca-befb-4068da581f78,Kashif Gillani,https://play-lh.googleusercontent.com/a-/ALV-UjVFHriSy-NLf5_yHUCJ5r3144OX_tYDhzmcUWXEWTGBT3FrX_nnLw,seems useless,1,0,,2025-07-03 01:05:30,,,
c2ed57b3-bd54-448b-9ac0-a93a13c14916,imad ali,https://play-lh.googleusercontent.com/a/ACg8ocL82B7yl5iWgqhSjLeOCrnNidL8TN193Dli0amzZVQ8LfDNDA=mo,bakwas hai sara masala hall ni krtay direct ap ki complain drop kr k msg krtay solve hogaya halank wo usitarah pending Chal Raha HOTA hai,1,0,6.2.5,2025-06-30 15:13:26,,,6.2.5
2e8eedb7-1f1b-469c-b557-8e51bf185028,Murtaza Hashmi,https://play-lh.googleusercontent.com/a-/ALV-UjUt39DtihROAW9SeHra2es6Klk4ZXaMSp1uAKJJMmKljIYTjVZh,Stunning,5,0,6.2.3,2025-06-29 09:33:47,,,6.2.3
b1588129-d093-4aaa-aa46-ca265553fafc,Ali Khan,https://play-lh.googleusercontent.com/a/ACg8ocJTFj4wBEjw7my3ZdkFgu0QfTviA3nNUdJB0Hrh9w5u_kiuVw=mo,we can't complain against branchless banking like Sadapay Nayapay,1,0,,2025-06-25 13:48:11,,,
ec3f33cc-f352-467f-ba0a-2bcf43a6a94d,nizakat ali,https://play-lh.googleusercontent.com/a-/ALV-UjWEMihgAZALiifqV-2592etjulyxjgU8fVaUNJhf0V4NC3qxMLD,very helpful app for everyone.,5,0,6.2.3,2025-06-06 12:18:46,,,6.2.3
01f1c8a1-a49b-4e4e-b2f1-02e342928871,M.junaid M.junaid,https://play-lh.googleusercontent.com/a/ACg8ocIE2i5H1pGxAAJWheClUscJbGpcYx8cVCeu56jsN-xnwHKN=mo,very bed,1,0,6.2.3,2025-06-05 18:35:00,,,6.2.3
fe634fbf-4944-486d-bbf7-4e891830133b,SYED FAHEEM UL HASSAN,https://play-lh.googleusercontent.com/a-/ALV-UjV3av015IR-19SzE7QH2N-W3KWupSm-054hwHdK7--HMxkALlZr,"I was Happy to see this App. But When I was looking for HBL KONNECT option. It was not present there. I want to file a dispute against HBL KONNECT, Which is a Product of HBL. Kindly List all the Options HBL KONNECT Nayapay SADAPAY I hope Team will look into it .",3,0,6.2.3,2025-06-05 10:32:58,,,6.2.3
fcb80536-6f1b-431c-ba1b-66c08a2bcd32,tokeyo drift,https://play-lh.googleusercontent.com/a/ACg8ocJ-3O5mBrnvTVs4SQGt5h8TOYKBjqKtw8KToDb9w9BGRovr06E=mo,"Please add missing UBL branch Wah Model Town, GT Road,",2,0,,2025-06-01 19:08:21,,,
