reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
767847e3-fcb5-4362-b494-9b8c5d965ada,Zakira Moin,https://play-lh.googleusercontent.com/a/ACg8ocI3SkkOdWDHd9sI_O_vRTKnWRgrSTsGRrJtnli4AY5khxZkIw=mo,good,5,0,1.0.58,2025-07-11 10:24:50,,,1.0.58
0111af91-7bf6-4bfa-b0ee-cef2c67a7e4a,Majid Sajid,https://play-lh.googleusercontent.com/a/ACg8ocJfJX9YgFsTL2SZXgwPjUhtj57xVsLRHs5dTvbSigzj3YUYEA=mo,"Its useless i am trying to register my account. But every time I get an email error, even though my email address is correct. I went to the bank and no one listened to me, nor did I call the helpline to any avail.",1,0,,2025-07-11 05:53:23,,,
14a6886b-c31b-40a2-ad24-145f5aeab253,Usman Akram,https://play-lh.googleusercontent.com/a-/ALV-UjWfSewjuBHra-0ZsELZBpaPLTwkTC7I30asGO_1NaSyw1vSdYs,app is good but I have an issue now I'm living abroad and I'm using app but now app is not open and there is error unable to connect to the server please how to solve this,5,0,1.0.58,2025-07-10 23:28:19,,,1.0.58
8261cdda-aafd-4d64-832c-077640d65818,Ch Umair,https://play-lh.googleusercontent.com/a/ACg8ocKfKA2zMsyZSTk9bPXE_qdrbC82FUaryBQElIt1T_bfl0O6Hk0=mo,bank is good coie sarvis,5,0,1.0.58,2025-07-10 21:49:23,,,1.0.58
08729088-308c-411d-9b97-a51c915f6010,Muhammad Riza,https://play-lh.googleusercontent.com/a-/ALV-UjUiFowjsJzgjkWG7M2fC32iuX6fFpLW2CwdtNyPsQ37qxRJC6RJ,"There is so much wrong about this net banking app of yours, recurring login problems which got fixed after three back to back voice calls to your customer care center. Biometric problem and many more exists till this date. I regret opening an account with BAHL and registering an E-account on BAHL Net Banking application, This was my worst decision to opt for your banking services randomly without any research. BAHL should uplift their net banking services up to the mark.",1,0,1.0.58,2025-07-10 18:01:09,,,1.0.58
4cbd28c0-3fbb-4878-aa83-1f3882109781,Hamza Raza,https://play-lh.googleusercontent.com/a/ACg8ocJb0OJ70c76T5z4bNbtqzY_3qJvfziIXc0ggiWNpD7CvUCe_w=mo,good app and fast service,5,0,1.0.58,2025-07-10 17:44:30,,,1.0.58
2b4c7c5a-5d55-4744-823b-9df1d4571871,H.M Roman,https://play-lh.googleusercontent.com/a-/ALV-UjWyCVnnHR5T61CE0P5pQWGtTBJGY1gQkejnrbTZd9aaEVvhyI3O,I can't tell what that was? they don't have any idea how to create an app. contact me for a better app. I can make it 100 times better.. 1: many times app say that my id password incorrect. and then it login with same. 2: it's not android app it's a WebView . so many times I see 404 error. 3: many times I faced issue while sending amount. 4: zero level UI and so many issues there.,1,1,1.0.58,2025-07-10 12:29:28,"

Greetings,
Thank you for getting in touch. Please elaborate on your issue so we may assist you.
",2025-07-10 12:02:27,1.0.58
6c5eaca4-c136-4acf-bcac-d813f11c642f,Hamza Murtaza,https://play-lh.googleusercontent.com/a-/ALV-UjWiv2mgvHuDA3PQapF_dSrbWt7DuJIrw_0nVgMSgj92oKzQ52iVhA,"My app is not working since 4 days. i have a business account and all my transactions have been delayed and paused due to this problem. I log in and it shows an error blank comment box, like only error written. pls fix it as soon as possible.",1,0,1.0.58,2025-07-10 11:13:18,"Greetings,

We apologize for the inconvenience. Please email detailed information to feedback@bankalhabib.com or contact us via our official Facebook page. Our team will promptly investigate and address your concerns.

For further assistance, call 021-111-014-014.
",2025-07-10 11:17:40,1.0.58
0ab855ad-af38-4eb7-ba83-0bc84f423719,Nayab Ghouri,https://play-lh.googleusercontent.com/a/ACg8ocIEQPng_yyItp9vVPITzsEufgdDNGt52G8muiF1EP-2KRGPDA=mo,Worst Experience app never work properly,1,0,1.0.58,2025-07-10 02:29:57,"Greetings,
Thank you for getting in touch. Please elaborate on your issue so we may assist you.

",2025-07-10 11:19:05,1.0.58
e1eb0c91-d3f8-4d24-a93f-e4e46191c2f3,Muhammad Saleem,https://play-lh.googleusercontent.com/a-/ALV-UjVamIvyFZFgkKNSYdo3JMzb_iQxxPBPr4y3GM-GCU-6DKd05gQaHQ,stupid not working since 2 days,2,0,1.0.58,2025-07-09 23:28:20,"Greetings,
Thank you for getting in touch. Please elaborate on your issue so we may assist you.
",2025-07-10 11:19:18,1.0.58
